DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Spanish Grand Prix
alonso,4.0,0.0,0,0.0,4.0,2.0,2.0,0.0,Spanish Grand Prix
antonelli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Spanish Grand Prix
bearman,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Spanish Grand Prix
bortoleto,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Spanish Grand Prix
colapinto,6.0,0.0,0,0.0,6.0,0.0,6.0,0.0,Spanish Grand Prix
gasly,14.0,5.0,0,5.0,9.0,4.0,0.0,5.0,Spanish Grand Prix
hadjar,20.0,5.0,0,5.0,15.0,6.0,4.0,5.0,Spanish Grand Prix
hamilton,13.0,5.0,0,5.0,8.0,8.0,0.0,0.0,Spanish Grand Prix
hulkenberg,35.0,0.0,0,0.0,35.0,10.0,20.0,5.0,Spanish Grand Prix
lawson,4.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Spanish Grand Prix
leclerc,28.0,0.0,0,0.0,28.0,15.0,8.0,5.0,Spanish Grand Prix
max_verstappen,11.0,5.0,0,5.0,6.0,1.0,0.0,5.0,Spanish Grand Prix
norris,18.0,0.0,0,0.0,18.0,18.0,0.0,0.0,Spanish Grand Prix
ocon,5.0,0.0,0,0.0,5.0,0.0,0.0,5.0,Spanish Grand Prix
piastri,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Spanish Grand Prix
russell,22.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Spanish Grand Prix
sainz,11.0,0.0,0,0.0,11.0,0.0,6.0,5.0,Spanish Grand Prix
stroll,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Spanish Grand Prix
tsunoda,12.0,0.0,0,0.0,12.0,0.0,12.0,0.0,Spanish Grand Prix
