DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,19.0,0,0,0,19.0,10.0,4.0,5,Emilia Romagna Grand Prix
alonso,10.0,5,0,5,5.0,0.0,0.0,5,Emilia Romagna Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Emilia Romagna Grand Prix
bearman,9.0,0,0,0,9.0,0.0,4.0,5,Emilia Romagna Grand Prix
bortoleto,5.0,5,0,5,0.0,0.0,0.0,0,Emilia Romagna Grand Prix
colapinto,0.0,0,0,0,0.0,0.0,0.0,0,Emilia Romagna Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Emilia Romagna Grand Prix
hadjar,12.0,5,0,5,7.0,2.0,0.0,5,Emilia Romagna Grand Prix
hamilton,33.0,0,0,0,33.0,12.0,16.0,5,Emilia Romagna Grand Prix
hulkenberg,15.0,0,0,0,15.0,0.0,10.0,5,Emilia Romagna Grand Prix
lawson,2.0,0,0,0,2.0,0.0,2.0,0,Emilia Romagna Grand Prix
leclerc,23.0,5,0,5,18.0,8.0,10.0,0,Emilia Romagna Grand Prix
max_verstappen,37.0,5,0,5,32.0,25.0,2.0,5,Emilia Romagna Grand Prix
norris,27.0,0,0,0,27.0,18.0,4.0,5,Emilia Romagna Grand Prix
ocon,5.0,5,0,5,0.0,0.0,0.0,0,Emilia Romagna Grand Prix
piastri,30.0,15,10,5,15.0,15.0,0.0,0,Emilia Romagna Grand Prix
russell,16.0,5,0,5,11.0,6.0,0.0,5,Emilia Romagna Grand Prix
sainz,9.0,5,0,5,4.0,4.0,0.0,0,Emilia Romagna Grand Prix
stroll,0.0,0,0,0,0.0,0.0,0.0,0,Emilia Romagna Grand Prix
tsunoda,21.0,0,0,0,21.0,1.0,20.0,0,Emilia Romagna Grand Prix
