DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,12.0,5,0,5,7.0,2.0,0.0,5,Japanese Grand Prix
alonso,12.0,5,0,5,7.0,0.0,2.0,5,Japanese Grand Prix
antonelli,8.0,0,0,0,8.0,8.0,0.0,0,Japanese Grand Prix
bearman,11.0,5,0,5,6.0,1.0,0.0,5,Japanese Grand Prix
bortoleto,0.0,0,0,0,0.0,0.0,0.0,0,Japanese Grand Prix
doohan,8.0,0,0,0,8.0,0.0,8.0,0,Japanese Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Japanese Grand Prix
hadjar,14.0,5,0,5,9.0,4.0,0.0,5,Japanese Grand Prix
hamilton,8.0,0,0,0,8.0,6.0,2.0,0,Japanese Grand Prix
hulkenberg,10.0,5,0,5,5.0,0.0,0.0,5,Japanese Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Japanese Grand Prix
leclerc,22.0,5,0,5,17.0,12.0,0.0,5,Japanese Grand Prix
max_verstappen,45.0,15,10,5,30.0,25.0,0.0,5,Japanese Grand Prix
norris,28.0,5,0,5,23.0,18.0,0.0,5,Japanese Grand Prix
ocon,0.0,0,0,0,0.0,0.0,0.0,0,Japanese Grand Prix
piastri,15.0,0,0,0,15.0,15.0,0.0,0,Japanese Grand Prix
russell,20.0,5,0,5,15.0,10.0,0.0,5,Japanese Grand Prix
sainz,2.0,0,0,0,2.0,0.0,2.0,0,Japanese Grand Prix
stroll,0.0,0,0,0,0.0,0.0,0.0,0,Japanese Grand Prix
tsunoda,4.0,0,0,0,4.0,0.0,4.0,0,Japanese Grand Prix
